WKT,name,description
"POINT (167.7125182 -13.6577089)",Volow,
"POINT (167.6390471 -13.6977393)",Mwotlap,
"POINT (167.6884856 -13.8344582)",Mota,
"POINT (167.5154509 -13.9011213)",Mwesen

,
"POINT (167.4515929 -13.9568129)",Vures,
"POINT (167.4076476 -13.8781673)",Vera'a,
"POINT (167.4309935 -13.7254656)",Lemerig,
"POINT (167.361425 -13.5388128)",Loyop,
"POINT (167.5865307 -14.2200802)",Nume,
"POINT (167.5521984 -14.3631401)",Dorig,
"POINT (167.4931469 -14.3611445)",Koro,
"POINT (167.4299755 -14.3205643)",Olrat,
"POINT (167.4224224 -14.254689)",Lakon,
"POINT (168.3786123 -17.8171403)",Nafsan,
"POINT (160.5661371 -8.3342215)",Toʼabaita,
"POINT (162.108559 -10.8211206)",Owa,
"POINT (168.365956 -16.7770947)",Lewo,
"POINT (168.3613076 -17.5433929)",Nakanamanga,
"POINT (168.0572998 -14.9339195)",Sungwadia,
"POINT (168.2811042 -16.7993299)",Votlo,
"POINT (168.5853338 -17.0242259)",Namakura of Buninga,
"POINT (160.7550733 -8.8656241)",Wala,
