WKT,name,description
"POINT (160.9992822 -9.0266607)",Kwaio,
"POINT (177.1250397 -17.2840333)",Wayan,
"POINT (168.5572798 -16.8949859)",Namakir,
"POINT (168.4016262 -16.7893144)",Lopika,
"POINT (147.3681803 -5.9539004)",Sio,
"POINT (168.1599414 -16.1205306)",North Ambrym,
"POINT (161.4857799 -9.5562375)",Sa'a,
"POINT (161.6382777 -10.3723659)",Arosi,
"POINT (147.2825 -2.5558292)",Paluai,
"POINT (168.6988395 7.2947286)",Marshallese,
"POINT (166.8978858 -11.7011983)",Tanema,
"POINT (166.9692969 -11.6352976)",Teanu

,
"POINT (151.0658599 -10.0870571)",Bunama,
"POINT (166.3218933 -10.3051164)",Äiwoo,
"POINT (166.6261094 -13.3395785)",Lo-Toga,
"POINT (166.572551 -13.1631308)",Hiw,
"POINT (166.8233848 -11.6326074)",Lovono,
"POINT (150.2202651 -10.1378845)",Anuki,
"POINT (168.0274253 -14.4438131)",Mwerlap,
"POINT (150.155393 -10.4696535)",Buhutu,
"POINT (151.0210472 -10.2837318)",'Auhelawa,
"POINT (150.8452193 -9.6534724)",Dobu,
"POINT (150.2675249 -9.4853057)",Bwaidoka,
"POINT (152.7186832 -9.1656478)",Muyuw,
"POINT (167.2941337 -13.5261287)",Lehali,
"POINT (149.8429627 -10.013842)",Ghayavi,
"POINT (153.4504741 -11.5261919)",Sudest,
"POINT (149.9905929 -10.3265277)",Kakabai,
"POINT (152.7167265 -10.6493501)",Misima-Paneati,
"POINT (150.2092725 -9.2039352)",Kaninuwa,
"POINT (150.8514932 -10.5840065)",Saliba,
"POINT (151.0549268 -8.7398546)",Kilivila,
"POINT (150.5773577 -9.5802794)",Molima,
"POINT (150.7172368 -10.2823437)",Tawala,
"POINT (168.1543192 -15.5249543)",Raga,
"POINT (166.930007 -0.5281142)",Nauruan,
"POINT (158.2134742 6.8405724)",Pohnpeian,
"POINT (159.7661292 6.6917319)",Mokilese,
"POINT (151.6174762 7.3299027)",Chuukese,
"POINT (162.9807604 5.3133155)",Kosraean,
"POINT (146.5105801 -2.199613)",Nyindrou,
"POINT (146.6376095 -1.975229)",Sori-Harengan,
"POINT (146.7508377 -2.0474359)",Khehek,
"POINT (147.3184384 -2.0585816)",Loniu,
"POINT (147.1201464 -2.0933206)",Kele,
"POINT (146.8576239 -2.1797777)",Titan,
"POINT (167.1698337 -15.6391011)",Tamambo,
"POINT (167.9143752 -15.3230401)",East Ambae,
"POINT (167.7475204 -15.421028)",West Ambae,
"POINT (168.1065229 -15.0026865)",Sungwadaga,
"POINT (168.1712258 -15.8592627)",Apma,
"POINT (168.1846154 -15.8237612)",Sowa,
"POINT (168.1914368 -15.8704644)",Seke,
"POINT (168.2262582 -15.9509515)",Sa,
"POINT (167.3638592 -15.9915301)",Uripiv-Wala-Rano-Atchin,
"POINT (167.6275311 -16.2659313)",Unua,
"POINT (167.8221414 -16.5044245)",Maskelynes,
"POINT (167.398655 -16.2616984)",Neve'ei,
"POINT (167.4947047 -16.2634922)",Avava,
"POINT (167.975756 -16.2891973)",Dakaka,
"POINT (169.8239637 -20.1903726)",Anejom̃,
"POINT (160.8063282 -8.4035578)",Lau,
"POINT (147.7994866 -6.6910753)",Yabem,
"POINT (147.7286789 -6.7012845)",Tami,
"POINT (146.6121381 -6.8689581)",Patep,
"POINT (168.1204506 -16.6893295)",Jakena,
"POINT (168.223597 -16.6372627)",Laman Bay,
"POINT (168.2115407 -16.6069259)",Marapahu,
"POINT (168.2879739 -16.6792334)",Mate Wan,
"POINT (168.1675642 -16.5952238)",Moriu,
"POINT (168.1902311 -16.5906374)",Niku,
"POINT (168.2229489 -16.618032)",Nouvi,
"POINT (168.3751 -16.7949561)",Oreao,
"POINT (168.4624972 -16.8376098)",Nalema,
"POINT (168.387914 -16.8010509)",Red Stone,
"POINT (168.2960992 -16.6813819)",Mangalava,
"POINT (168.4050143 -16.8119491)",Taolia,
"POINT (168.3716384 -16.7949608)",Jowo Miapika,
"POINT (168.4151495 -16.7781184)",Tekelele,
"POINT (168.4110296 -16.8126295)",Vilakara,
"POINT (146.6908021 -6.7323046)",Mangga Buang,
"POINT (149.1826597 -9.433178)",Maisin,
"POINT (149.2774435 -9.513204)",Ubir,
"POINT (149.2218189 -9.2106029)",Arifama-Miniafia,
"POINT (150.2285696 -9.3281052)",Iduna,
"POINT (150.1324392 -9.3836611)",Diodio,
"POINT (150.4793568 -9.6143432)",Minaveha,
"POINT (160.7751758 -8.6305005)",Kwara'ae,
"POINT (166.4466678 -22.1502684)",Dumbea,
"POINT (165.0852788 -21.03523)",Paicî,
"POINT (165.1676762 -20.7991973)",Cemuhî,
"POINT (166.5777141 -20.6309517)",Iaai,
"POINT (166.0566487 -21.8681708)",Xârâcùù,
"POINT (165.8068817 -21.4728599)",Mea,
"POINT (165.5032421 -21.3013674)",Ajië,
"POINT (165.4700335 -21.6260897)",Orowe,
"POINT (164.4958419 -20.5207097)",Jawe,
"POINT (164.6373919 -20.5840133)",Nemi,
"POINT (164.5617271 -20.3971528)",Caac,
"POINT (163.6595239 -19.720372)",Belep,
