WKT,name,description
"POINT (141.4891616 -8.4030738)",Ndre,
"POINT (141.834621 -9.1883158)",Namo,
"POINT (142.1420688 -8.8886139)",Nen,
"POINT (142.0871073 -9.1563217)",Len,
"POINT (141.7716185 -8.7064688)",Nambo-Namna,
"POINT (145.7872318 -5.2267111)",Amele,
"POINT (154.17408 -11.351204)",Yeli Dnye,
"POINT (146.1207323 -5.5410084)",Madi,
"POINT (147.8548737 -6.5998381)",Kate,
"POINT (147.6622742 -6.2200357)",Migabac,
"POINT (147.5001808 -6.6049589)",Borong,
"POINT (147.4933594 -6.1299244)",Ono,
"POINT (147.6270538 -6.426075)",Parec,
"POINT (147.6830331 -6.6635362)",Mape,
"POINT (147.3946049 -6.1059218)",Kinalaknga ,
"POINT (147.533219 -6.3272246)",Mongi,
"POINT (147.3328065 -6.0922683)",Kumukio,
"POINT (147.4219825 -6.3272246)",Tobo,
"POINT (147.5854041 -6.3927368)",Dedua,
"POINT (147.8023498 -6.3524439)",Magobineng,
"POINT (147.7144592 -6.3415249)",Wamora,
"POINT (147.7558175 -6.4779956)",Wemo,
"POINT (147.5786338 -6.0763379)",Sialum,
"POINT (147.7434577 -6.5680469)",Naga,
"POINT (147.6815002 -6.2432437)",Momare,
"POINT (147.7941101 -6.3333355)",Sene,
